2024 Utility Bundled Retail Sales- Commercial,,,,,,
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
"Lighthouse Electric Coop, Inc",TX,Cooperative,425,"442,650","14,781.9",3.34
"Lyntegar Electric Coop, Inc",TX,Cooperative,"3,507","375,771","25,238.0",6.72
"MEMS Industrial Supply, LLC",TX,Retail Power Marketer,13,"1,350,240","46,564.7",3.45
MP2 Energy LLC,TX,Retail Power Marketer,"33,961","12,203,130","847,934.3",6.95
Magic Valley Electric Coop Inc,TX,Cooperative,"18,438","292,304","31,795.6",10.88
Maison Energy LLC,TX,Retail Power Marketer,7,25,3.8,15.20
"Medina Electric Coop, Inc",TX,Cooperative,"6,325","314,086","32,024.5",10.20
Mid-South Electric Coop Assn,TX,Cooperative,"5,043","161,693","23,294.1",14.41
"MidAmerican Energy Services, LLC",TX,Retail Power Marketer,"4,697","724,263","62,872.5",8.68
Morgan Stanley Capital Grp Inc,TX,Retail Power Marketer,2,"237,168","26,763.8",11.28
Mothership,TX,Retail Power Marketer,89,"2,720,798","120,670.0",4.44
"Navarro County Elec Coop, Inc",TX,Cooperative,"1,814","48,369","7,105.0",14.69
"Navasota Valley Elec Coop, Inc",TX,Cooperative,"1,924","87,007","13,114.1",15.07
North Plains Electric Coop Inc,TX,Cooperative,"2,678","107,126","9,035.0",8.43
Nueces Electric Cooperative,TX,Cooperative,"6,160","149,849","14,538.0",9.70
"Panola-Harrison Elec Coop, Inc",TX,Cooperative,"1,917","77,863","7,007.6",9.00
"Pedernales Electric Coop, Inc",TX,Cooperative,"51,822","1,760,388","224,622.7",12.76
"Pulse Power, LLC",TX,Retail Power Marketer,"6,024","122,235","17,247.1",14.11
Pumpjack Power LLC,TX,Retail Power Marketer,75,"249,968","11,651.8",4.66
Reliant Energy Retail Services,TX,Retail Power Marketer,"107,929","4,997,940","662,359.7",13.25
Revolution Energy LLC,TX,Retail Power Marketer,64,"4,090",491.0,12.00
Rhythm Ops LLC,TX,Retail Power Marketer,"1,099","32,609","5,209.3",15.98
"Rio Grande Electric Coop, Inc",TX,Cooperative,"4,379","131,929","18,733.0",14.20
"Rita Blanca Electric Coop, Inc",TX,Cooperative,532,"975,488","56,055.0",5.75
"Rusk County Electric Coop, Inc",TX,Cooperative,"5,444","97,638","13,806.5",14.14
"SFE Energy Texas, Inc.",TX,Retail Power Marketer,661,"34,725","4,379.5",12.61
Sam Houston Electric Coop Inc,TX,Cooperative,"7,164","164,368","20,792.0",12.65
