DATA_CENTER_BUILDING_NAME,PROVIDER_NAME,TOT_POWER_MW,County
VA1 Ashburn Data Center,NTT Global Data Centers,12.0,Loudoun County
Manassas 3 Data Center,QTS Data Centers,42.0,Prince William County
Manassas 1 Data Center,QTS Data Centers,9.8226,Prince William County
Manassas 2 Data Center,QTS Data Centers,9.69749999999999,Prince William County
Ashburn - Shellhorn ASH3 Data Center Building 1,QTS Data Centers,42.0,Loudoun County
Ashburn - Shellhorn ASH3 Data Center Building 2,QTS Data Centers,42.0,Loudoun County
Ashburn - Lockridge Data Center DC2,QTS Data Centers,40.0,Loudoun County
Ashburn - Lockridge Data Center DC1,QTS Data Centers,40.0,Loudoun County
Ashburn - Broderick Data Center,QTS Data Centers,36.0,Loudoun County
Ashburn - Moran Data Center,QTS Data Centers,4.0,Loudoun County
RIC3 DC1,QTS Data Centers,12.8625,Chesterfield County
Richmond 2 Data Center DC6,QTS Data Centers,12.8625,Chesterfield County
Richmond 2 Data Center DC5,QTS Data Centers,12.8625,Chesterfield County
Richmond 2 Data Center DC4,QTS Data Centers,12.8625,Henrico County
Richmond 1 Data Center DC1,QTS Data Centers,35.0,Henrico County
Richmond 1 Data Center DC2,QTS Data Centers,35.0,Chesterfield County
Richmond 1 Data Center DC3,QTS Data Centers,35.0,Henrico County
RIC2 DC5,QTS Data Centers,12.8625,Henrico County
RIC2 DC3 ,QTS Data Centers,12.8625,Arlington County
RIC2 DC2,QTS Data Centers,12.8625,Henrico County
RIC2 DC1,QTS Data Centers,12.8625,Henrico County
NVA06 - Northern Virginia Data Center Building 1,STACK Infrastructure,48.0,Loudoun County
NVA02E - Northern Virginia Data Center,STACK Infrastructure,36.0,Loudoun County
NVA02D - Northern Virginia Data Center,STACK Infrastructure,36.0,Loudoun County
NVA02A - Northern Virginia Data Center,STACK Infrastructure,40.0,Loudoun County
NVA02B - Northern Virginia Data Center,STACK Infrastructure,40.0,Loudoun County
NVA02C - Northern Virginia Data Center,STACK Infrastructure,2.0,Loudoun County
NVA05A - Northern Virginia Data Center,STACK Infrastructure,36.0,Loudoun County
NVA01A - Northern Virginia Data Center,STACK Infrastructure,17.0,Loudoun County
VA3-31 Ashburn Data Center Building 1,Vantage Data Centers,11.0,Loudoun County
VA1 Ashburn Data Center Building 3,Vantage Data Centers,35.0,Loudoun County
VA1 Ashburn Data Center Building 4,Vantage Data Centers,35.0,Loudoun County
VA1 Ashburn Data Center Building 2,Vantage Data Centers,35.0,Loudoun County
VA1 Ashburn Data Center Building 1,Vantage Data Centers,35.0,Loudoun County
VA2 Ashburn Data Center Building 3,Vantage Data Centers,28.0,Loudoun County
VA2 Ashburn Data Center Building 2,Vantage Data Centers,40.0,Loudoun County
VA2 Ashburn Data Center Building 1,Vantage Data Centers,28.0,Loudoun County
Windstream Innsbrook,Windstream,,Henrico County
Windstream Ashburn,Windstream,,Loudoun County
Windstream Sterling,Windstream,1.0508,Loudoun County
AVAIO Appomattox Data Center,AVAIO Digital,,Appomattox County
Clarksville - AI Data Center 2,TECfusions,220.0,Mecklenburg County
Project Tallmadge Data Center 1,Takanock,,Loudoun County
Project Tallmadge Data Center 2,Takanock,,Prince William County
Convergent Data Center 1,Headwaters Site Development LLC,60.0,Loudoun County
Convergent Data Center 3,Headwaters Site Development LLC,60.0,Loudoun County
Convergent Data Center 2,Headwaters Site Development LLC,60.0,Loudoun County
Convergent Data Center 4,Headwaters Site Development LLC,60.0,Prince William County
Remington Technology Park Building 4,PointOne ,100.0,Loudoun County
Remington Technology Park Building 5,PointOne ,100.0,Loudoun County
Remington Technology Park Building 6,PointOne ,100.0,Loudoun County
SAMX Remignton Data Center 3,SAMX,75.0,Loudoun County
SAMX Remignton Data Center 1,SAMX,75.0,Loudoun County
SAMX Remignton Data Center 2,SAMX,75.0,Loudoun County
Remington Innovation Data Center 7,SDC Capital Partners,,Loudoun County
Remington Innovation Data Center 1,SDC Capital Partners,,Loudoun County
Remington Innovation Data Center 3,SDC Capital Partners,,Loudoun County
Remington Innovation Data Center 2,SDC Capital Partners,,Fauquier County
Remington Innovation Data Center 4,SDC Capital Partners,,Loudoun County
Remington Innovation Data Center 6,SDC Capital Partners,,Loudoun County
Remington Innovation Data Center 5,SDC Capital Partners,,Fauquier County
Vint Hill Corners Data Center 2,Vint Hill Corners LLC,54.0,Fauquier County
Vint Hill Corners Data Center 1,Vint Hill Corners LLC,54.0,Fauquier County
VIN1 Data Center 2,OVHCloud,18.0,Loudoun County
Data Center Building 2,Black Chamber,40.0,Prince William County
Data Center Building 1,Black Chamber,40.0,Loudoun County
Project Well Data Center 1,Black Chamber,43.025,Prince William County
Project Well Data Center 2,Black Chamber,43.025,Loudoun County
Project Well Data Center 3,Black Chamber,43.025,Prince William County
Yondr NOV2A,Yondr,62.957,Loudoun County
Yondr NOV2D,Yondr,62.957,Loudoun County
Yondr NOV2E,Yondr,32.51,Loudoun County
Yondr NOV2B,Yondr,62.957,Loudoun County
Yondr NOV2C,Yondr,62.957,Loudoun County
VA-8- Northern Virginia Data Center,Iron Mountain Data Centers,32.71,Loudoun County
"Bethlehem Rd, Data Center 1",Iron Mountain Data Centers,66.019,Prince William County
"Bethlehem Rd, Data Center 3",Iron Mountain Data Centers,61.915,Loudoun County
"Bethlehem Rd, Data Center 2",Iron Mountain Data Centers,61.915,Loudoun County
Tech Park at Brambleton Data Center 3,Black Chamber,61.25,Loudoun County
Tech Park at Brambleton Data Center 4,Black Chamber,61.25,Loudoun County
Tuscarora Landbay 3 Data Center 1,Black Chamber,44.7,Loudoun County
Tuscarora Landbay 3 Data Center 2,Black Chamber,44.7,Loudoun County
Tuscarora Landbay 3 Data Center 3,Black Chamber,44.7,Loudoun County
Luck Stone Leesburg Data Center 4,Luck Stone,63.589,Loudoun County
Luck Stone Leesburg Data Center 1,Luck Stone,63.589,Loudoun County
Luck Stone Leesburg Data Center 5,Luck Stone,63.589,Loudoun County
Luck Stone Leesburg Data Center 8,Luck Stone,63.589,Loudoun County
Luck Stone Leesburg Data Center 6,Luck Stone,63.589,Loudoun County
Luck Stone Leesburg Data Center 7,Luck Stone,63.589,Loudoun County
Luck Stone Leesburg Data Center 2,Luck Stone,63.589,Loudoun County
Luck Stone Leesburg Data Center 3,Luck Stone,63.589,Loudoun County
Tuscarora LB 7 Data Center 2,Black Chamber,49.13,Loudoun County
Tuscarora LB 7 Data Center 1,Black Chamber,49.13,Loudoun County
TCA - Building 3,SDC Capital Partners,63.169,Arlington County
TCA - Building 5,SDC Capital Partners,44.68,Loudoun County
TCA - Building 4,SDC Capital Partners,61.229,Prince William County
TCA - Building 1,SDC Capital Partners,61.957,Loudoun County
TCA - Building 2,SDC Capital Partners,61.608,Prince William County
Leesburg Data Center 3,SDC Capital Partners,80.0,Loudoun County
Leesburg Data Center 4,SDC Capital Partners,62.5,Loudoun County
Leesburg Data Center 5,SDC Capital Partners,45.0,Loudoun County
Leesburg Data Center 2,SDC Capital Partners,85.0,Loudoun County
Leesburg Data Center 1,SDC Capital Partners,90.0,Loudoun County
Spotsy Technology Data Center 8,SpotsyTechnoCampus LLC,61.948,Spotsylvania County
Spotsy Technology Data Center 6,SpotsyTechnoCampus LLC,32.75,Spotsylvania County
