2024 Utility Bundled Retail Sales- Residential,,,,,,
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
Trico Electric Cooperative Inc,AZ,Cooperative,"52,450","592,945","84,010.2",14.17
Tucson Electric Power Co,AZ,Investor Owned,"412,747","3,964,038","619,593.9",15.63
"UNS Electric, Inc",AZ,Investor Owned,"95,191","1,055,159","169,013.1",16.02
USBIA-San Carlos Project,AZ,Federal,"11,432","126,426","24,640.0",19.49
Alameda Municipal Power,CA,Municipal,"33,174","139,744","32,111.2",22.98
Bear Valley Electric Service,CA,Investor Owned,"23,327","86,717","26,596.1",30.67
City & County of San Francisco,CA,Municipal,"2,618","42,476","10,213.6",24.05
City of Anaheim - (CA),CA,Municipal,"105,839","592,710","101,425.0",17.11
City of Azusa,CA,Municipal,"15,599","89,136","17,011.0",19.08
City of Burbank Water and Power,CA,Municipal,"46,157","258,668","49,794.0",19.25
City of Colton - (CA),CA,Municipal,"17,472","112,530","27,963.8",24.85
City of Corona - (CA),CA,Municipal,"1,285","8,282","1,283.6",15.50
City of Glendale - (CA),CA,Municipal,"77,563","382,936","129,473.9",33.81
City of Lodi - (CA),CA,Municipal,"23,751","173,515","38,996.0",22.47
City of Moreno Valley - (CA),CA,Municipal,"7,936","46,278","18,450.0",39.87
City of Palo Alto - (CA),CA,Municipal,"26,249","157,856","32,625.0",20.67
City of Pasadena - (CA),CA,Municipal,"58,551","334,268","86,833.0",25.98
City of Redding - (CA),CA,Municipal,"38,170","388,866","69,425.0",17.85
City of Riverside - (CA),CA,Municipal,"100,450","767,945","155,114.0",20.20
City of Roseville - (CA),CA,Municipal,"63,052","544,702","101,628.0",18.66
City of Santa Clara - (CA),CA,Municipal,"50,949","260,068","43,895.9",16.88
City of Shasta Lake - (CA),CA,Municipal,"4,268","42,533","8,193.8",19.26
City of Vernon,CA,Municipal,73,336,48.9,14.55
"EverBright, LLC",CA,Behind the Meter,"11,488","100,101","19,656.4",19.64
Imperial Irrigation District,CA,Political Subdivision,"142,078","1,975,507","353,871.0",17.91
Liberty Utilities,CA,Investor Owned,"43,902","293,637","76,119.4",25.92
Los Angeles Department of Water & Power,CA,Municipal,"1,410,191","8,208,619","1,956,785.0",23.84
Merced Irrigation District,CA,Political Subdivision,"11,366","87,505","21,222.7",24.25
Modesto Irrigation District,CA,Political Subdivision,"103,650","1,005,119","218,924.8",21.78
PacifiCorp,CA,Investor Owned,"36,273","373,288","77,033.5",20.64
Pacific Gas & Electric Co.,CA,Investor Owned,"1,856,780","11,138,420","4,412,805.0",39.62
"Palmetto Solar, LLC",CA,Behind the Meter,248,"7,855","1,903.0",24.23
Sacramento Municipal Util Dist,CA,Political Subdivision,"592,557","4,995,051","892,673.1",17.87
San Diego Gas & Electric Co,CA,Investor Owned,"307,982","1,347,817","588,006.5",43.63
Southern California Edison Co,CA,Investor Owned,"3,219,520","19,540,551","6,336,639.0",32.43
Spruce Finance,CA,Behind the Meter,"25,337","201,778","38,701.3",19.18
"SunPower Capital, LLC",CA,Behind the Meter,"71,494","494,300","119,812.2",24.24
Sunnova,CA,Behind the Meter,"52,766","314,892","86,739.5",27.55
Sunrun Inc.,CA,Behind the Meter,"325,586","2,600,109","672,433.8",25.86
Surprise Valley Electrification,CA,Cooperative,"2,785","33,171","4,357.5",13.14
Tesla Inc.,CA,Behind the Meter,"147,441","975,383","181,012.0",18.56
Turlock Irrigation District,CA,Political Subdivision,"80,575","833,392","136,142.0",16.34
"Valley Electric Assn, Inc",CA,Cooperative,12,100,19.1,19.10
"Black Hills Colorado Electric, LLC",CO,Investor Owned,"89,252","611,784","104,284.0",17.05
CORE Electric Cooperative,CO,Cooperative,"165,067","1,710,656","257,358.0",15.04
City of Colorado Springs - (CO),CO,Municipal,"216,771","1,611,075","232,830.0",14.45
City of Fort Collins - (CO),CO,Municipal,"70,803","527,984","69,729.7",13.21
City of Fort Morgan,CO,Municipal,"5,999","67,589","4,713.2",6.97
City of Fountain,CO,Municipal,"17,242","149,763","20,575.0",13.74
City of Longmont,CO,Municipal,"40,855","338,976","41,698.5",12.30
City of Loveland - (CO),CO,Municipal,"37,007","276,130","39,771.3",14.40
Delta Montrose Electric Assn,CO,Cooperative,"32,575","280,040","41,927.5",14.97
"Empire Electric Assn, Inc",CO,Cooperative,"12,899","109,300","16,733.5",15.31
"EverBright, LLC",CO,Behind the Meter,287,"1,611",194.9,12.10
Grand Valley Power,CO,Cooperative,"17,268","164,101","26,160.0",15.94
Greenbacker Renewable Energy Corporation,CO,Behind the Meter,10,60,6.2,10.33
"High West Energy, Inc",CO,Cooperative,670,"6,615","1,002.1",15.15
Highline Electric Assn,CO,Cooperative,"5,047","54,263","7,662.4",14.12
